J',nu1',nu2',nu3',Energy
0,2,0,2,-158.592397595809
0,2,0,3,36.4836942152271
0,2,0,4,-6.26150588960533
0,2,0,5,-2.26451044769404
0,2,0,6,-1.42004222033335
0,2,0,7,-0.05714017726821111
0,2,0,8,0.01462774857526039
0,2,0,9,0.003980799409968453
0,2,0,10,0.000738938194442414
0,2,0,11,-7.054608930713567e-05
0,2,0,12,-1.442612505818905e-07
0,2,0,13,6.395886698003971e-06
0,2,0,14,2.060611584594686e-06
0,2,0,15,2.042798729912662e-06
0,2,0,16,3.591723827535323e-06
0,3,0,0,10.6862526045265
0,3,0,1,29.3517970740481
0,3,0,2,36.0164414428164
0,3,0,3,-32.1853266557959
0,3,0,4,0.107506352412698
0,3,0,5,1.4430447681337
0,3,0,6,0.249420092017339
0,3,0,7,-0.002210013842700497
0,3,0,8,-0.0004905488827807896
0,3,0,9,-0.0009264170861179512
0,3,0,10,-8.409018960609385e-05
0,3,0,11,1.139991259503672e-05
0,3,0,12,1.584308746769841e-06
0,3,0,13,-1.099053500519731e-06
0,3,0,14,-3.886498913981522e-07
0,2,1,0,162.251899268927
0,2,1,1,-57.6716697330799
0,2,1,2,36.3882611892693
0,2,1,3,71.9363601799231
0,2,1,4,-5.47105529647814
0,2,1,5,-4.25437975496537
0,2,1,6,-0.353772318898868
0,2,1,7,0.01787180068673868
0,2,1,8,-0.004030363648247731
0,2,1,9,0.001746278908529122
0,2,1,10,4.508493134800238e-05
0,2,1,11,-1.142136770119044e-05
0,2,1,12,-5.842985166845587e-06
0,2,1,13,2.349814269099463e-06
0,2,1,14,1.768069745866805e-06
0,4,0,0,-11.6065995623432
0,4,0,1,15.0703615688507
0,4,0,2,3.22759980405895
0,4,0,3,-17.8205555429078
0,4,0,4,2.42632500813263
0,4,0,5,0.805943886151079
0,4,0,6,0.05752371141608209
0,4,0,7,-0.001348223236082993
0,4,0,8,0.0008389830337652941
0,4,0,9,-0.0003049150437739789
0,4,0,10,-1.224864838696278e-05
0,4,0,11,1.628219074507439e-06
0,4,0,12,9.948271441778517e-07
0,1,3,0,91.2029036591722
0,1,3,1,-35.1063366637137
0,1,3,2,34.1707450332283
0,1,3,3,44.6317080799544
0,1,3,4,-9.14737116487317
0,1,3,5,-2.40495637171513
0,1,3,6,-0.102543316456288
0,1,3,7,0.004657742043353901
0,1,3,8,-0.003547555906735034
0,1,3,9,0.0007254873973191006
0,1,3,10,2.492091414586013e-06
0,1,3,11,-4.81591843491108e-07
0,1,3,12,-3.212879684023802e-06
0,5,0,0,13.8224721568484
0,5,0,1,-8.26232863891099
0,5,0,2,5.00357243432283
0,5,0,3,10.3534397471241
0,5,0,4,-2.62688108811006
0,5,0,5,-0.480811848371297
0,5,0,6,-0.01349101063524007
0,5,0,7,-0.0001158101335136505
0,5,0,8,-0.0007861065697186573
0,5,0,9,0.0001255956145248083
0,5,0,10,1.219508929811394e-06
0,4,1,0,49.4152396414965
0,4,1,1,-17.4400851559732
0,4,1,2,25.9289048380073
0,4,1,3,23.028171475033
0,4,1,4,-7.24559974488369
0,4,1,5,-1.17866696579449
0,4,1,6,-0.01681545202903485
0,4,1,7,-0.0007092017347377873
0,4,1,8,-0.002176433490831069
0,4,1,9,0.0002631985228174056
0,4,1,10,-3.411545177197994e-06
0,2,3,0,-8.96076616287232
0,2,3,1,2.5687524591124
0,2,3,2,-5.5299376966679
0,2,3,3,-3.54869112466632
0,2,3,4,1.60064072132397
0,2,3,5,0.19001073123686
0,2,3,6,-0.001393997428714882
0,2,3,7,0.0006251463726694843
0,2,3,8,0.0004076297140019477
0,2,3,9,-3.05868503214685e-05
0,2,3,10,7.866391548068136e-07
0,0,6,0,11.7907659879272
0,0,6,1,-4.80859098386139
0,0,6,2,6.86175966125021
0,0,6,3,6.38136360029438
0,0,6,4,-2.26461401909532
0,0,6,5,-0.300240179465594
0,0,6,6,-0.0003796866231058709
0,0,6,7,-0.0007070297822493221
0,0,6,8,-0.0006007806938164477
0,0,6,0,-25.6216369499466
0,0,6,1,8.44624599581161
0,0,6,2,-15.5323002170039
0,0,6,3,-11.4850995645928
0,0,6,4,4.7014743916877
0,0,6,5,0.572507955557488
0,0,6,6,-0.004774495745647323
0,0,6,7,0.001686988659982493
0,0,6,8,0.001227608316446565
0,4,2,0,-6.45280549365874
0,4,2,1,2.12282611213608
0,4,2,2,-3.65601697656149
0,4,2,3,-2.89490963008216
0,4,2,4,1.58514677607528
0,4,2,5,0.151875128225779
0,4,2,6,-0.004891373028280171
0,4,2,7,0.0008295727495560852
0,4,2,8,0.0003754216440854037
0,6,1,0,7.89757897266938
0,6,1,1,-2.71041997645914
0,6,1,2,5.12534922807274
0,6,1,3,3.7123217697851
0,6,1,4,-1.62578131191609
0,6,1,5,-0.174872436393163
0,6,1,6,0.002868751671626204
0,0,7,0,13.012712412975
0,0,7,1,-4.32481157302939
0,0,7,2,7.38581789387151
0,0,7,3,5.84039596010323
0,0,7,4,-2.89523092494525
0,0,7,5,-0.289119443776729
0,0,7,6,0.006919275102081258
0,1,6,0,-4.10834477700934
0,1,6,1,1.64918730449396
0,1,6,2,-0.715744912234261
0,1,6,3,-2.02340682140497
0,1,6,4,1.28035540279711
0,1,6,5,0.108957452224091
0,1,6,6,-0.003314953274573874
0,7,1,0,-5.61199300558449
0,7,1,1,1.8234599618489
0,7,1,2,-3.51735559612459
0,7,1,3,-2.51458433912153
0,7,1,4,1.32331230849393
0,4,3,0,0.332957146352227
0,4,3,1,-0.05773822547930763
0,4,3,2,-0.101820260747037
0,4,3,3,0.0349638324625275
0,4,3,4,-0.01324830410840618
0,4,3,5,-0.004566075587928667
0,4,3,6,-0.001828667484371075
0,0,8,0,-7.54808605713987
