|J> |nu1> |nu2> |nu3> Energy
           0           2           3           8  4.076297140019477E-004
           0           2           3           9 -3.058685032146850E-005
           0           2           3          10  7.866391548068136E-007
           0           0           6           0   11.7907659879272     
           0           0           6           1  -4.80859098386139     
           0           0           6           2   6.86175966125021     
           0           0           6           3   6.38136360029438     
           0           0           6           4  -2.26461401909532     
           0           0           6           5 -0.300240179465594     
           0           0           6           6 -3.796866231058709E-004
           0           0           6           7 -7.070297822493221E-004
           0           0           6           8 -6.007806938164477E-004
           0           0           6           0  -25.6216369499466     
           0           0           6           1   8.44624599581161     
           0           0           6           2  -15.5323002170039     
           0           0           6           3  -11.4850995645928     
           0           0           6           4   4.70147439168770     
           0           0           6           5  0.572507955557488     
           0           0           6           6 -4.774495745647323E-003
           0           0           6           7  1.686988659982493E-003
           0           0           6           8  1.227608316446565E-003
           0           4           2           0  -6.45280549365874     
           0           4           2           1   2.12282611213608     
           0           4           2           2  -3.65601697656149     
           0           4           2           3  -2.89490963008216     
           0           4           2           4   1.58514677607528     
           0           4           2           5  0.151875128225779     
           0           4           2           6 -4.891373028280171E-003
           0           4           2           7  8.295727495560852E-004
           0           4           2           8  3.754216440854037E-004
           0           6           1           0   7.89757897266938     
           0           6           1           1  -2.71041997645914     
           0           6           1           2   5.12534922807274     
           0           6           1           3   3.71232176978510     
           0           6           1           4  -1.62578131191609     
           0           6           1           5 -0.174872436393163     
           0           6           1           6  2.868751671626204E-003
           0           0           7           0   13.0127124129750     
           0           0           7           1  -4.32481157302939     
           0           0           7           2   7.38581789387151     
           0           0           7           3   5.84039596010323     
           0           0           7           4  -2.89523092494525     
           0           0           7           5 -0.289119443776729     
           0           0           7           6  6.919275102081258E-003
           0           1           6           0  -4.10834477700934     
           0           1           6           1   1.64918730449396     
           0           1           6           2 -0.715744912234261     
           0           1           6           3  -2.02340682140497     
           0           1           6           4   1.28035540279711     
           0           1           6           5  0.108957452224091     
           0           1           6           6 -3.314953274573874E-003
           0           7           1           0  -5.61199300558449     
           0           7           1           1   1.82345996184890     
           0           7           1           2  -3.51735559612459     
           0           7           1           3  -2.51458433912153     
           0           7           1           4   1.32331230849393     
           0           4           3           0  0.332957146352227     
           0           4           3           1 -5.773822547930763E-002
           0           4           3           2 -0.101820260747037     
           0           4           3           3  3.496383246252750E-002
           0           4           3           4 -1.324830410840618E-002
           0           4           3           5 -4.566075587928667E-003
           0           4           3           6 -1.828667484371075E-003
           0           0           8           0  -7.54808605713987     
           0           0           8           1   2.97240254115579     
           0           0           8           2  -2.88984076196217     
           0           0           8           3  -3.86923284642431     
           0           0           8           4   2.33438068092195     
           0           1           7           0  0.611154003550198     
           0           1           7           1  0.730715481538070     
           0           1           7           2   3.32265823311345     
           0           1           7           3 -0.621093276747900     
           0           1           7           4  0.671935403004425     
           0           3           5           0   1.10868652685505     
           0           3           5           1 -0.566212654254675     
           0           3           5           2  0.110555968176640     
           0           3           5           3  0.691073115517028     
           0           3           5           4 -0.402010847995360     
           0           0           1           0  -30.1726048974199     
           0           0           1           1  -77.6277944385027     
           0           0           1           2   9203.16751888430     
           0           0           1           3   104.885073378687     
           0           0           1           4  -66.9322952419151     
           0           0           1           5   11.0987862078916     
           0           0           1           6   5.89049936490371     
           0           0           1           7 -0.807696946153856     
           0           0           1           8 -0.103271162907109     
           0           0           1           9 -2.722296700860665E-002
           0           0           1          10  5.373654662949494E-004
           0           0           1          11  9.149415281638675E-004
           0           0           1          12  5.442101250890311E-005
           0           0           1          13 -1.919716213372802E-005
           0           0           1          14  2.618804444787382E-006
           0           0           1          15 -1.203674395556294E-006
           0           0           1          16 -3.245794681650868E-006
           0           2           0           0  -20.8994607497037     
           0           2           0           1  -99.9880073874885     
           0           2           0           2  -70.4854904886114     
           0           2           0           3   203.032174029361     
           0           2           0           4  -49.1283620932363     
           0           2           0           5   11.7901098788314     
           0           2           0           6   3.96321862301996     
           0           2           0           7   2.69667850389258     
           0           2           0           8  0.151189975981862     
           0           2           0           9  3.036507313135565E-002
           0           2           0          10 -8.450000380028730E-003
           0           2           0          11 -2.001521115390027E-003
           0           2           0          12 -1.305982340570927E-004
           0           2           0          13 -6.889379005983432E-007
           0           2           0          14 -2.675344367917249E-005
           0           2           0          15 -1.572675137264980E-005
           0           2           0          16 -2.398755798034393E-005
           0           3           0           0   20.0352924333636     
           0           3           0           1   15.7620018882263     
           0           3           0           2   55.8904379685706     
           0           3           0           3  -45.3257287897576     
           0           3           0           4   43.9397474588237     
           0           3           0           5 -0.312026706138684     
           0           3           0           6  -2.50821313471797     
           0           3           0           7 -0.490560321367097     
           0           3           0           8 -1.329435206062660E-003
           0           3           0           9 -1.168543289753348E-003
           0           3           0          10  2.090778545181111E-003
           0           3           0          11  2.496736255611448E-004
           0           3           0          12  2.327709044780519E-005
           0           3           0          13  4.615201982160163E-006
           0           3           0          14  5.028847044192746E-006
           0           2           1           0  -59.1084136108786     
           0           2           1           1   223.480145254324     
           0           2           1           2  -119.198532109844     
           0           2           1           3  -36.9875641245239     
           0           2           1           4  -97.2839829918073     
           0           2           1           5   8.68847052717493     
           0           2           1           6   7.45182289730376     
           0           2           1           7  0.730166039368158     
           0           2           1           8 -2.857210280588885E-002
           0           2           1           9 -8.161183600858426E-003
           0           2           1          10 -4.140897935578782E-003
